interation,polynomial,error,polynomial_best,error_best
0,-0.4615565816394869*x**10 - 0.3252146330672381*x**9 - 0.06340001679337404*x**8 + 0.026563344756167062*x**7 - 0.34403939278003526*x**6 - 0.4208839422692403*x**5 + 0.4594460493335454*x**4 + 0.3357366205392712*x**3 + 0.17936317572199212*x**2 - 0.34402537195070837*x + 0.06777089597724562,25.82674820195165,-0.4615565816394869*x**10 - 0.3252146330672381*x**9 - 0.06340001679337404*x**8 + 0.026563344756167062*x**7 - 0.34403939278003526*x**6 - 0.4208839422692403*x**5 + 0.4594460493335454*x**4 + 0.3357366205392712*x**3 + 0.17936317572199212*x**2 - 0.34402537195070837*x + 0.06777089597724562,25.82674820195165
1,-0.36282682216285184*x**10 - 0.21693199656355983*x**9 + 0.054627928936740094*x**8 + 0.15372673810947576*x**7 - 0.20994651429462188*x**6 - 0.28515284064350904*x**5 + 0.5856866338496274*x**4 + 0.4307999977642999*x**3 + 0.20565528244608214*x**2 - 0.4229094461545157*x + 0.1983044181803834,31.253436514445696,-0.36282682216285184*x**10 - 0.21693199656355983*x**9 + 0.054627928936740094*x**8 + 0.15372673810947576*x**7 - 0.20994651429462188*x**6 - 0.28515284064350904*x**5 + 0.5856866338496274*x**4 + 0.4307999977642999*x**3 + 0.20565528244608214*x**2 - 0.4229094461545157*x + 0.1983044181803834,0.7906128826985518
2,-0.29288708999504187*x**10 - 0.14159909361402068*x**9 + 0.13467134040170067*x**8 + 0.23673385168995245*x**7 - 0.12768936689349203*x**6 - 0.21098697572679911*x**5 + 0.637752378334706*x**4 + 0.4348268974665647*x**3 + 0.11708873200063413*x**2 - 0.6562180301274563*x + 0.015704226224001777,28.79446243560999,-0.29288708999504187*x**10 - 0.14159909361402068*x**9 + 0.13467134040170067*x**8 + 0.23673385168995245*x**7 - 0.12768936689349203*x**6 - 0.21098697572679911*x**5 + 0.637752378334706*x**4 + 0.4348268974665647*x**3 + 0.11708873200063413*x**2 - 0.6562180301274563*x + 0.015704226224001777,0.7588736711154234
3,-0.23787210498699846*x**10 - 0.08304518700780576*x**9 + 0.19579399624602756*x**8 + 0.298353549533376*x**7 - 0.06963098093703306*x**6 - 0.16413470708675054*x**5 + 0.6593162170065567*x**4 + 0.40593404604405*x**3 - 0.0028308989681376812*x**2 - 0.8991235688834907*x + 0.05497956311607159,26.313660948834205,-0.23787210498699846*x**10 - 0.08304518700780576*x**9 + 0.19579399624602756*x**8 + 0.298353549533376*x**7 - 0.06963098093703306*x**6 - 0.16413470708675054*x**5 + 0.6593162170065567*x**4 + 0.40593404604405*x**3 - 0.0028308989681376812*x**2 - 0.8991235688834907*x + 0.05497956311607159,0.7254469098264077
4,-0.1917779097886939*x**10 - 0.03431443330811347*x**9 + 0.24613058342628924*x**8 + 0.3482048622683721*x**7 - 0.02424682917761721*x**6 - 0.1305713215075145*x**5 + 0.6677548876949453*x**4 + 0.3660204707237161*x**3 - 0.12670045711339706*x**2 - 1.1250480326497074*x + 0.16976314825317318,22.845552317940705,-0.1917779097886939*x**10 - 0.03431443330811347*x**9 + 0.24613058342628924*x**8 + 0.3482048622683721*x**7 - 0.02424682917761721*x**6 - 0.1305713215075145*x**5 + 0.6677548876949453*x**4 + 0.3660204707237161*x**3 - 0.12670045711339706*x**2 - 1.1250480326497074*x + 0.16976314825317318,0.6759519556586948
5,-0.1518276946379277*x**10 + 0.007774960739770067*x**9 + 0.2893535444803721*x**8 + 0.39056169728306145*x**7 + 0.013483684355658235*x**6 - 0.10433799842344305*x**5 + 0.6702128610829496*x**4 + 0.32369083712797553*x**3 - 0.24447455172239607*x**2 - 1.3257957193175514*x + 0.3025097458019282,19.45703531664427,-0.1518276946379277*x**10 + 0.007774960739770067*x**9 + 0.2893535444803721*x**8 + 0.39056169728306145*x**7 + 0.013483684355658235*x**6 - 0.10433799842344305*x**5 + 0.6702128610829496*x**4 + 0.32369083712797553*x**3 - 0.24447455172239607*x**2 - 1.3257957193175514*x + 0.3025097458019282,0.6238114349167426
6,-0.1165942022938779*x**10 + 0.04483126757481037*x**9 + 0.32728134399532965*x**8 + 0.42748621585328805*x**7 + 0.045902927670966744*x**6 - 0.082777963850412*x**5 + 0.6696757541399461*x**4 + 0.2821955815581835*x**3 - 0.35301210394279947*x**2 - 1.5003050513547689*x + 0.431449661773583,16.611127494768052,-0.1165942022938779*x**10 + 0.04483126757481037*x**9 + 0.32728134399532965*x**8 + 0.42748621585328805*x**7 + 0.045902927670966744*x**6 - 0.082777963850412*x**5 + 0.6696757541399461*x**4 + 0.2821955815581835*x**3 - 0.35301210394279947*x**2 - 1.5003050513547689*x + 0.431449661773583,0.5763874997736862
7,-0.08523381080080171*x**10 + 0.07778629780066366*x**9 + 0.36094093848284264*x**8 + 0.460104081598767*x**7 + 0.07423044633180734*x**6 - 0.06460205748660008*x**5 + 0.6674328372218117*x**4 + 0.24264427512535375*x**3 - 0.45185635121410456*x**2 - 1.6501291709145134*x + 0.5491205255387329,14.375810376174432,-0.08523381080080171*x**10 + 0.07778629780066366*x**9 + 0.36094093848284264*x**8 + 0.460104081598767*x**7 + 0.07423044633180734*x**6 - 0.06460205748660008*x**5 + 0.6674328372218117*x**4 + 0.24264427512535375*x**3 - 0.45185635121410456*x**2 - 1.6501291709145134*x + 0.5491205255387329,0.5362053781187658
8,-0.057171693191041144*x**10 + 0.10726363251290333*x**9 + 0.39100320496205665*x**8 + 0.4891261100234683*x**7 + 0.09919780444161595*x**6 - 0.049101283031791905*x**5 + 0.6640762091504622*x**4 + 0.20530418374711862*x**3 - 0.5415387304891716*x**2 - 1.7776383657373165*x + 0.6536914123515088,12.676250853750112,-0.057171693191041144*x**10 + 0.10726363251290333*x**9 + 0.39100320496205665*x**8 + 0.4891261100234683*x**7 + 0.09919780444161595*x**6 - 0.049101283031791905*x**5 + 0.6640762091504622*x**4 + 0.20530418374711862*x**3 - 0.5415387304891716*x**2 - 1.7776383657373165*x + 0.6536914123515088,0.5035126781670967
9,-0.031970301922991426*x**10 + 0.13373199572860717*x**9 + 0.4179636920434715*x**8 + 0.5150639589467387*x**7 + 0.12130985199292911*x**6 - 0.035824558370595914*x**5 + 0.6599068623210139*x**4 + 0.17012337481022233*x**3 - 0.6229037514467122*x**2 - 1.885321271000197*x + 0.7454676182866299,11.406727819643274,-0.031970301922991426*x**10 + 0.13373199572860717*x**9 + 0.4179636920434715*x**8 + 0.5150639589467387*x**7 + 0.12130985199292911*x**6 - 0.035824558370595914*x**5 + 0.6599068623210139*x**4 + 0.17012337481022233*x**3 - 0.6229037514467122*x**2 - 1.885321271000197*x + 0.7454676182866299,0.4776343333480807
