interation,polynomial,error,polynomial_best,error_best
573,-0.4544850885688383*x**10 - 0.4650271325830148*x**9 + 0.26661427229588475*x**8 + 1.8334735015205974*x**7 + 2.129807704684029*x**6 + 2.2660765283580897*x**5 + 0.8548979709837987*x**4 - 2.6624648736366736*x**3 - 7.101283281638673*x**2 + 3.126531320704229*x + 0.44364339821795734,3.46433406604737,-0.4544850885688383*x**10 - 0.4650271325830148*x**9 + 0.26661427229588475*x**8 + 1.8334735015205974*x**7 + 2.129807704684029*x**6 + 2.2660765283580897*x**5 + 0.8548979709837987*x**4 - 2.6624648736366736*x**3 - 7.101283281638673*x**2 + 3.126531320704229*x + 0.44364339821795734,0.2632236336671679
574,-0.4570876050142388*x**10 - 0.4665888451245644*x**9 + 0.26632333957644305*x**8 + 1.8345970740271538*x**7 + 2.1322472060360345*x**6 + 2.2692026747221714*x**5 + 0.8571173889222786*x**4 - 2.6639175141575233*x**3 - 7.107874621406962*x**2 + 3.1303968409711045*x + 0.44324981817335296,3.4617846013808644,-0.4570876050142388*x**10 - 0.4665888451245644*x**9 + 0.26632333957644305*x**8 + 1.8345970740271538*x**7 + 2.1322472060360345*x**6 + 2.2692026747221714*x**5 + 0.8571173889222786*x**4 - 2.6639175141575233*x**3 - 7.107874621406962*x**2 + 3.1303968409711045*x + 0.44324981817335296,0.26312676037913224
575,-0.45968856248323153*x**10 - 0.4681497190802813*x**9 + 0.2660324184434412*x**8 + 1.8357197954920532*x**7 + 2.1346851235254864*x**6 + 2.2723269652935314*x**5 + 0.8593357075444037*x**4 - 2.665368823592908*x**3 - 7.114461478349199*x**2 + 3.1342591666386985*x + 0.44285664848233475,3.4592388691648264,-0.45968856248323153*x**10 - 0.4681497190802813*x**9 + 0.2660324184434412*x**8 + 1.8357197954920532*x**7 + 2.1346851235254864*x**6 + 2.2723269652935314*x**5 + 0.8593357075444037*x**4 - 2.665368823592908*x**3 - 7.114461478349199*x**2 + 3.1342591666386985*x + 0.44285664848233475,0.2630299933150144
576,-0.4622879599468377*x**10 - 0.46970975321940267*x**9 + 0.2657415102413357*x**8 + 1.8368416671834076*x**7 + 2.137121457984276*x**6 + 2.275449399850932*x**5 + 0.861552924666768*x**4 - 2.666818806887518*x**3 - 7.121043858244817*x**2 + 3.138118307334778*x + 0.4424638872127251,3.456696861196985,-0.4622879599468377*x**10 - 0.46970975321940267*x**9 + 0.2657415102413357*x**8 + 1.8368416671834076*x**7 + 2.137121457984276*x**6 + 2.275449399850932*x**5 + 0.861552924666768*x**4 - 2.666818806887518*x**3 - 7.121043858244817*x**2 + 3.138118307334778*x + 0.4424638872127251,0.26293333228014226
577,-0.46488579639839045*x**10 - 0.47126894633079386*x**9 + 0.2654506162993594*x**8 + 1.8379626903608917*x**7 + 2.1395562102457966*x**6 + 2.278569978188361*x**5 + 0.8637690381380969*x**4 - 2.668267468939474*x**3 - 7.127621766838851*x**2 + 3.14197427260054*x + 0.4420715324513013,3.454158569323788,-0.46488579639839045*x**10 - 0.47126894633079386*x**9 + 0.2654506162993594*x**8 + 1.8379626903608917*x**7 + 2.1395562102457966*x**6 + 2.278569978188361*x**5 + 0.8637690381380969*x**4 - 2.668267468939474*x**3 - 7.127621766838851*x**2 + 3.14197427260054*x + 0.4420715324513013,0.26283677708128245
578,-0.4674820708532888*x**10 - 0.4728272972227341*x**9 + 0.2651597379316858*x**8 + 1.8390828662758318*x**7 + 2.14198938114493*x**6 + 2.2816887001148745*x**5 + 0.8659840458389068*x**4 - 2.6697148146008285*x**3 - 7.134195209842313*x**2 + 3.1458270718915182*x + 0.44167958230360044,3.4516239854398747,-0.4674820708532888*x**10 - 0.4728272972227341*x**9 + 0.2651597379316858*x**8 + 1.8390828662758318*x**7 + 2.14198938114493*x**6 + 2.2816887001148745*x**5 + 0.8659840458389068*x**4 - 2.6697148146008285*x**3 - 7.134195209842313*x**2 + 3.1458270718915182*x + 0.44167958230360044,0.2627403275266237
579,-0.47007678234875616*x**10 - 0.4743848047227075*x**9 + 0.26486887643758894*x**8 + 1.84020219617129*x**7 + 2.14442097151802*x**6 + 2.28480556545442*x**5 + 0.8681979456811573*x**4 - 2.6711608486780363*x**3 - 7.140764192932537*x**2 + 3.1496767145784896*x + 0.44128803489371476,3.4490931014875645,-0.47007678234875616*x**10 - 0.4743848047227075*x**9 + 0.26486887643758894*x**8 + 1.84020219617129*x**7 + 2.14442097151802*x**6 + 2.28480556545442*x**5 + 0.8681979456811573*x**4 - 2.6711608486780363*x**3 - 7.140764192932537*x**2 + 3.1496767145784896*x + 0.44128803489371476,0.26264398342576073
580,-0.4726699299436022*x**10 - 0.47594146767719453*x**9 + 0.26457803310160255*x**8 + 1.8413206812821505*x**7 + 2.1468509822028556*x**6 + 2.287920574045673*x**5 + 0.8704107356079157*x**4 - 2.6726055759324465*x**3 - 7.147328721753509*x**2 + 3.1535232099483546*x + 0.4408968883641042,3.446565909456346,-0.4726699299436022*x**10 - 0.47594146767719453*x**9 + 0.26457803310160255*x**8 + 1.8413206812821505*x**7 + 2.1468509822028556*x**6 + 2.287920574045673*x**5 + 0.8704107356079157*x**4 - 2.6726055759324465*x**3 - 7.147328721753509*x**2 + 3.1535232099483546*x + 0.4408968883641042,0.2625477445896782
581,-0.47526151271798484*x**10 - 0.47749728495146593*x**9 + 0.2642872091936761*x**8 + 1.842438322835201*x**7 + 2.149279414038641*x**6 + 2.2910337257418703*x**5 + 0.8726224135930157*x**4 - 2.67404900108077*x**3 - 7.153888801916196*x**2 + 3.157366567205021*x + 0.44050614087538853,3.44404240138239,-0.47526151271798484*x**10 - 0.47749728495146593*x**9 + 0.2642872091936761*x**8 + 1.842438322835201*x**7 + 2.149279414038641*x**6 + 2.2910337257418703*x**5 + 0.8726224135930157*x**4 - 2.67404900108077*x**3 - 7.153888801916196*x**2 + 3.157366567205021*x + 0.44050614087538853,0.2624516108307354
582,-0.4778515297731768*x**10 - 0.47905225542937846*x**9 + 0.263996405969332*x**8 + 1.8435551220492172*x**7 + 2.1517062678659773*x**6 + 2.29414502041065*x**5 + 0.8748329776407288*x**4 - 2.6754911287955565*x**3 - 7.160444438998892*x**2 + 3.1612067954702807*x + 0.440115790606171,3.441522569348044,-0.4778515297731768*x**10 - 0.47905225542937846*x**9 + 0.263996405969332*x**8 + 1.8435551220492172*x**7 + 2.1517062678659773*x**6 + 2.29414502041065*x**5 + 0.8748329776407288*x**4 - 2.6754911287955565*x**3 - 7.160444438998892*x**2 + 3.1612067954702807*x + 0.440115790606171,0.26235558196265024
